"Data Source","World Development Indicators",

"Last Updated Date","2016-08-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19160","26650","27400","29550","29180","31210","32360","31820","32980","33170","34910","34720","34310","35710","37030","38740","39380","40420","39380","35230","35790","34530","35880","37750","38020","39140",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17570","17100","16910","16790","17350","18250","20690","16740","18080","19230","20130","20720","21190","21010","21380","22070","22780","23260","23160","21760","21770","21990","22490","22430","22710","22930",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","790","1010","2090","2930","4380","4690","4840","5100","5350","5600","6010","6680","7550","8260","9120","9020","9090","9500","9780","10240","10500","10610",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5220","5330","4920","4640","4180","3830","4030","4570","5030","5310","5760","6220","6690","7380","8510","9680","10990","12230","13740","13760","15060","16410","16820","17040","17680","16840",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3280","3650","4070","4350","4350","4370","4360","4430","4440","4650","5160","5300","5530","5890","6040","6280","6600","6520","6710","7050","6950","7340","7490","7580","7780","7880",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26490","26490","27070","28390","28970","30660","","","","","","","","","","","","75090","74800","68450","68910","68110","67140","66680","","",
"Bolivia","BOL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2280","2440","2520","2630","2770","2900","3050","3180","3330","3320","3400","3480","3550","3610","3770","4020","4280","4510","4830","4910","5070","5330","5540","5910","6310","6840",
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6450","6680","6720","7050","7360","7740","8010","8250","8130","8100","8570","8770","9070","9220","9930","10440","11030","11870","12510","12470","13880","14580","14750","15110","15630","15020",
"Barbados","BRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8450","8280","8030","8170","8540","8820","9280","9890","10340","10440","11090","10970","11180","11570","12110","12800","13700","14520","14620","14260","14660","14950","15200","15430","15660","15930",
"Brunei Darussalam","BRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49820","51600","53740","53660","55010","57160","58410","57160","56160","57500","59250","61060","63220","65180","66150","67370","71260","72400","71090","69300","","","72230","","","",
"Bhutan","BTN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1410","1420","1490","1610","1800","1870","2030","2200","2140","2220","2850","3060","3290","3490","3680","4000","4350","5100","5280","5490","6000","6450","6690","6940","7300","7610",
"Botswana","BWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5090","5740","5940","6290","5740","6420","6450","7120","7500","7620","7710","8090","7680","8400","8630","9400","10420","11480","12190","11660","12300","13540","14250","15150","15640","15600",
"Central African Republic","CAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","600","560","560","580","620","590","620","640","670","650","690","710","680","720","740","780","820","840","850","870","900","930","580","570","600",
"Canada","CAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19290","19310","19620","20420","21560","22460","23030","24220","25210","26650","28310","29090","29850","31220","32860","35230","37220","38650","39500","38050","39310","40810","41600","43680","44490","43970",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6407.18069966379","6709.7440162214","7216.96844157009","7743.72238987225","8250.74291997515","8607.97778479417","8986.16311583599","9272.73369845655","9912.55005036188","10703.6850992027","11465.0748324423","12096.8756811303","12931.2944526837","13925.3750614689","15430.6743533996","17059.6113043568","18721.6677527119","18894.0987603176","19799.3036585233","21037.9749193512","21998.9249146203","22975.4997081298","23768.7899917655","24520.6309536311",
"Switzerland","CHE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27350","27670","27900","28400","28900","29700","30520","32330","33570","34430","36800","36790","37390","38870","40160","42500","46660","47760","47200","50930","54460","55080","58470","60460","60050","61930",
"Channel Islands","CHI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4160","4620","5340","5860","6230","7060","7730","8330","8700","8580","9490","9900","10110","10500","11060","11870","13780","15020","15260","15180","17020","19140","20480","20640","21470","21740",
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","980","1090","1260","1450","1660","1830","2030","2240","2410","2610","2880","3160","3490","3910","4410","5020","5830","6820","7620","8280","9200","10180","11190","12120","13220","14160",
"Cote d'Ivoire","CIV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1780","1810","1800","1770","1830","1940","2100","2180","2290","2290","2140","2100","2030","1950","2090","2320","2380","2440","2500","2540","2570","2450","2710","2900","3140","3240",
"Cameroon","CMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1710","1620","1570","1440","1450","1500","1560","1620","1700","1750","1780","1840","1920","2030","2140","2190","2310","2360","2430","2460","2490","2580","2670","2780","2960","3080",
"Congo, Rep.","COG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2820","2930","3120","2850","2850","1990","2030","2500","2700","2400","2600","2690","2850","2940","2810","2970","3150","3220","3610","3730","4120","4180","4470","4670","5220","6300",
"Colombia","COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4620","4830","5100","5300","5720","6050","6160","6380","6410","6150","6440","6580","6740","6990","7460","7950","8640","9350","9740","9890","10260","10970","11570","12250","12930","13520",
