"Data Source","World Development Indicators",

"Last Updated Date","2016-08-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Bhutan","BTN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164.8989","","","",
"Central African Republic","CAF","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3058.02936","3119.40387","3158.51825","3242.84351","3514.44013","3694.90268","3706.14549","3900.10404","4084.76793","4237.92748","4313.21086","4588.22201","4711.77034","4451.41681","4649.21748","4727.25939","4489.77062","","","",
"Central Europe and the Baltics","CEB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1405.39223300822","1394.39841352821","1405.01595052356","1380.45000076056","1373.22307421628","1388.06806528385","1409.43449864163","1420.85601348824","1489.77122527766","1607.88472839807","1613.8096393189","1676.98835276977","1741.8418244602","1758.57214540695","1830.5550363848","1846.64646253076","1919.63065460065","1997.60028400989","","",
"Switzerland","CHE","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3131.1826","","","","3643.11003","","","","3457.99402","","","","3287.98299","","","","4481.07378","","","",
"Channel Islands","CHI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","337.18288","357.9897","288.71137","319.71699","353.36854","390.95003","","","",
"China","CHN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","442.56548","471.99494","386.77167","420.60209","547.30387","581.53188","631.07801","667.53208","713.28449","856.84548","932.31417","1078.62521","1200.2949","863.9263","902.95975","977.68206","1035.87909","1089.19205","","",
"Cote d'Ivoire","CIV","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.98405","","","","","","","","","","",
"Cameroon","CMR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.7886","49.58871","40.72115","36.36251","32.72473","","","","","","","","","","","","","","","",
"Colombia","COL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.12003","74.16146","","","99.27162","111.15058","126.83357","138.34698","154.81655","165.47303","176.28238","184.99694","182.21581","165.13044","184.88352","160.65925","164.28984","","","",
"Comoros","COM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.5908","131.75346","","","","","","","","","50.48883","","","","",
"Costa Rica","CRI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132.81725","109.62401","124.01588","","","263.00901","997.93662","1232.70923","1327.46816","","","","",
"Caribbean small states","CSS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","259.90044","300.3811","321.21719","346.34034","443.93055","490.90818","573.91662","660.47767","713.54097","751.618","748.36817","800.56048","819.98034","819.41962","776.5852","775.19244","","",
"Czech Republic","CZE","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1255.29187","1219.72077","1220.23966","1316.567","1349.7015","1462.96546","1464.42152","1548.10404","1596.11502","2362.36532","2557.30588","2698.59737","2864.51845","2749.45014","2781.85443","2912.62889","3149.99155","3249.88938","","",
"Germany","DEU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2811.61389","2875.74074","2898.56684","3107.28263","3148.80136","3231.71759","3253.51966","3297.09098","3318.86921","3349.64573","3452.20997","3597.23882","3751.78161","3940.73576","4077.76719","4211.25463","4379.07515","4472.24166","","",
"Djibouti","DJI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3178.10864","3318.56206","","3561.4852","","3632.88055","4758.17173","4622.36787","4846.94659","5201.29439","5301.9463","5519.31521","6496.76342","6660.14333","6743.89777","7025.8153","7310.51682","7264.55752","","",
"Dominican Republic","DOM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168.12009","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","421.022468107784","437.950018575448","369.313603751921","394.936618786881","495.762841664553","501.046831933394","568.740979229412","615.524803074242","709.173365859195","786.170355770875","921.25360076372","984.149450239671","1188.23707980263","735.045636975057","914.573682257611","970.914234414339","1051.81643812852","1089.19205","","",
"Early-demographic dividend","EAR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175.923250798347","","","","","","","","","","",
"East Asia & Pacific","EAS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","898.117278412808","882.791765111017","871.596713975624","861.081866271929","938.65878635446","914.746138013217","1026.41674387257","1070.09823716226","1223.78748081338","1253.42098896227","1457.19829971704","1454.24925785763","1692.11842137427","1181.14336299561","1431.88285704816","1480.28842329431","1575.38638967862","1605.69371837836","","",
"Europe & Central Asia (excluding high income)","ECA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2049.87241750013","1979.70559322489","1936.05181420166","1923.31330357177","1936.36463673822","1832.9669151086","1956.41825326299","1947.56582134041","","",
"Europe & Central Asia","ECS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2283.63143567709","2265.63352746338","2213.05298837092","2309.61095814989","2359.22252470655","2436.90739217109","2450.35977657547","2518.57577692982","2600.7112233435","2651.8566538054","2641.50375307512","2636.12033543083","2709.65921514069","2734.57161013191","2791.60822521459","2736.47653176084","2888.23195532709","2916.71323982863","","",
"Ecuador","ECU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.13589","78.1552","83.36151","","","39.99143","42.07448","48.53419","","","70.5209","65.04533","103.23306","118.34982","141.30002","180.29544","","","","",
"Egypt, Arab Rep.","EGY","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","636.07747","442.26912","437.05784","496.7285","496.11617","521.73978","543.88625","","",
"Euro area","EMU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2132.58579851197","2146.47618355428","2239.52090207283","2300.62558520486","2452.99157011218","2481.58775992811","2577.77673060092","2590.46861701699","2731.18100035382","2764.29925942098","2884.66213892096","2998.07895945641","3177.25577026593","3254.00011948128","3364.76527140476","3398.44667777779","3508.53826873701","3580.39055677358","","",
"Eritrea","ERI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1294.74546","1347.20228","1501.03148","1524.24015","1881.47426","1942.26519","1992.51062","2178.27246","2339.60558","2501.90167","2599.99534","2712.35021","2858.90072","2890.22244","2889.45684","2788.25639","2718.38425","2652.55124","","",
"Estonia","EST","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2117.48109","2138.44928","1905.4494","1926.34618","2212.28218","2197.55406","2470.75829","2457.10214","2603.43909","2745.05982","2969.53373","3229.0105","3060.60631","3396.66342","3460.62053","3338.5099","","",
"Ethiopia","ETH","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.98986","","19.9649","","","42.26728","","","45.12264","","",
"European Union","EUU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2030.86195459223","2084.91880672206","2109.67376211208","2226.32812724137","2269.15856168621","2389.11799053206","2455.76333626906","2559.07926423052","2688.97384719419","2788.4922084003","2875.17368681589","2937.83025209458","3081.01255930691","3134.40052681394","3221.51507298799","3236.38411161498","3336.22328419344","3429.52512186553","","",
"Fragile and conflict affected situations","FCS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5151.57793","5905.22952","6326.69736","6731.79198","7109.83597","7427.94337","8002.60846","7841.79882","7544.64803","7673.05548","7373.23969","7692.44228","7648.88133","7717.4749","7413.63475","7460.10245","7187.92619","","",
"Fiji","FJI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2649.18224","2638.28223","2645.38383","2714.09473","2897.42654","2970.46248","3103.08065","3188.46222","3325.36438","3306.6814","3418.13213","3580.19482","3653.99215","3741.42203","3867.99292","3939.51136","4075.80509","4153.48377","","",
"Faroe Islands","FRO","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1780.24340820313","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2492.02289","2499.68342","2697.05988","2856.79052","2897.28334","3082.99185","3341.63327","3638.88524","3825.95705","4128.8698","4188.19153","4131.53362","4083.85884","4116.35039","4091.17544","3979.38352","4029.27837","4055.10043","","",
"Georgia","GEO","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","561.63442","585.41073","",
"Ghana","GHA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.41385","","","38.67959","","","","","",
"Gibraltar","GIB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.68401","109.21967","","33.50296","","","","",
"Guinea-Bissau","GNB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1015.39239","","1351.66163","","1307.94346","","1417.21172","","1769.95323","1793.70335","1887.82947","","","","2212.33265","2232.28916","2628.15504","","",
"Grenada","GRD","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","536.059753417969","539.498352050781","646.901245117188","701.464477539063","","","","","","","","","","","",
"Guatemala","GTM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.43072","24.09185","33.84639","38.27972","38.4241","24.6398","24.58589","26.74256","","","",
"Guam","GUM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","285.12954","316.06761","303.02839","","","","","","","","","","",
"Guyana","GUY","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2853.45928742405","2893.53539370883","2977.52058596282","3045.92118290505","3118.34090102436","3220.13687459329","3256.45909715376","3421.07226395827","3479.48836696323","3552.00685534835","3658.50855278577","3645.35121897783","3752.6301122452","3798.74281038297","3816.16433874902","3902.13489619401","3962.51039913731","","","",
"Hong Kong SAR, China","HKG","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1039.53622","1184.30858","1139.23457","1338.25044","1552.06131","1970.26113","2133.09402","2634.13843","2673.05812","2842.5983","2669.89504","2774.82183","2942.98906","2893.29777","2990.20341","","","",
"Honduras","HND","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1054.37935","1239.36954","1529.3348","1509.82498","1949.61523","1334.99123","1628.26151","1308.11483","1322.64535","1406.66505","1541.61308","1600.54535","1645.80643","1591.5583","1560.05986","1528.50394","","",
"Haiti","HTI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1007.07546","1081.73353","1140.82193","1226.84727","1409.02199","1438.41032","1471.75957","1496.82428","1473.13297","1572.70767","1741.03963","1728.01685","1841.06598","1999.41186","2131.08159","2304.47041","2393.67348","2522.84572","","",
"IBRD only","IBD","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","516.992020055456","","464.89449368957","","500.735386411664","","","","","624.942554342535","","","","","684.655954172722","","","","","",
"IDA & IBRD total","IBT","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","581.278600964437","","","","","629.807954482669","","","","","",
"IDA total","IDA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","IDN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212.64966","199.21818","","","","","","","","89.5267","","","","","","",
"IDA only","IDX","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
